Run,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,DATASTORE filetype,DATASTORE provider,DATASTORE region,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
SRR7890824,43,WGS,300,170412023100,ATCC,PRJNA489865,SAMN10102573,Human,69609498237,FDA,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4728544,HiSeq X Ten,CRL-2324,WGS_FD_T_2,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395,female,SRP162370,breast carcinoma,CRL-2324,
SRR7890825,43,WGS,300,174932862900,ATCC,PRJNA489865,SAMN10102573,Human,70339563746,FDA,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX4728543,HiSeq X Ten,CRL-2324,WGS_FD_T_3,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395,female,SRP162370,breast carcinoma,CRL-2324,
SRR7890826,43,WGS,300,171032135700,ATCC,PRJNA489865,SAMN10102574,Human,71208121846,FDA,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX4728542,HiSeq X Ten,CRL-2325,WGS_FD_N_1,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395BL,female,SRP162370,B lymphoblast,CRL-2325,
SRR7890827,43,WGS,300,179573070000,ATCC,PRJNA489865,SAMN10102574,Human,74994408221,FDA,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4728541,HiSeq X Ten,CRL-2325,WGS_FD_N_2,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395BL,female,SRP162370,B lymphoblast,CRL-2325,
SRR7890828,43,WGS,300,176194754700,ATCC,PRJNA489865,SAMN10102574,Human,73651076314,FDA,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX4728540,HiSeq X Ten,CRL-2325,WGS_FD_N_3,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395BL,female,SRP162370,B lymphoblast,CRL-2325,
SRR7890829,43,WGS,300,165140526000,ATCC,PRJNA489865,SAMN10102573,Human,68472557947,FDA,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX4728539,HiSeq X Ten,CRL-2324,WGS_FD_T_1,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395,female,SRP162370,breast carcinoma,CRL-2324,
SRR7890830,43,WXS,250,49759724250,ATCC,PRJNA489865,SAMN10102573,Human,26087368161,FDA,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4728538,Illumina HiSeq 2500,CRL-2324,WES_NV_T_2,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395,female,SRP162370,breast carcinoma,CRL-2324,
SRR7890831,43,WXS,250,48369764750,ATCC,PRJNA489865,SAMN10102573,Human,24823661895,FDA,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX4728537,Illumina HiSeq 2500,CRL-2324,WES_NV_T_3,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395,female,SRP162370,breast carcinoma,CRL-2324,
SRR7890832,43,WGS,302,262787109282,ATCC,PRJNA489865,SAMN10102574,Human,108639778602,FDA,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX4728536,HiSeq X Ten,CRL-2325,WGS_EA_N_1,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395BL,female,SRP162370,B lymphoblast,CRL-2325,
SRR7890833,43,WGS,302,284652952994,ATCC,PRJNA489865,SAMN10102573,Human,126203210621,FDA,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4728535,HiSeq X Ten,CRL-2324,WGS_EA_T_1,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395,female,SRP162370,breast carcinoma,CRL-2324,
